edit_history_tweet_ids,id,created_at,text,annote
['1602051595042279425'],1602051595042279425,2022-12-11T21:23:59.000Z,"Three in a row ! 🔥 

Jutta Leerdam 🇳🇱 speeds to her third 1000m World Cup gold 🏆 this season ! 

With 1:12 ! 828 ! the Dutchwoman finishes ahead of Kimi Goetz 🇺🇸 and Vanessa Herzog 🇦🇹 

 https://t ! co/Lw6dgpcHGn",2
['1602051594497019906'],1602051594497019906,2022-12-11T21:23:59.000Z, How many times has Ronaldo been on bench for Portugal ? How many time were they ever at semis ? Has CR7 ever played a world cup final ? Has he ever won a world cup ? Would he have won this ? So why won't he be benched ? What difference would playing him made since he won't get to semi,0
['1602051587207303168'],1602051587207303168,2022-12-11T21:23:57.000Z,"France wins ten medals at the Youth World Cup , Flavien Coton crowned in U15 https://t , co/M08FMlzbsE",2
['1602051583147139078'],1602051583147139078,2022-12-11T21:23:56.000Z, world cup england vs france I bet 80 dollars on the french and I won,2
['1602051571067813888'],1602051571067813888,2022-12-11T21:23:53.000Z,"  Morocco played well against Portugal &amp ; won ; They won vs Belgium 2:0 ; 
Croatia did the same in 2018 and still doing it this World Cup ; No word about them ; ",2
['1602051565623431170'],1602051565623431170,2022-12-11T21:23:52.000Z,"  This article is disrespectful to the Argentine people . It is an article that is untrue in every way . I find it incredible that this type of false news is allowed to be published . 
https://t . co/jYy4NhJ4ne",4
['1602051562188468225'],1602051562188468225,2022-12-11T21:23:51.000Z,in america da super bowls IS . outside da US its da world cup dis jus facts https://t . co/L0YnVTBXLq,4
['1602051560208535555'],1602051560208535555,2022-12-11T21:23:51.000Z,Next world cup will be in US so he has to wait 2030 https://t . co/En9syBKLnb,2
['1602051554680442886'],1602051554680442886,2022-12-11T21:23:49.000Z,"ODDS AND ENDS: World Cup viewers were actually watching FIFA video game , and other offbeat offerings https://t , co/sHPjuvJsuM https://t , co/oJsetYUFaC",2
['1602051554365808647'],1602051554365808647,2022-12-11T21:23:49.000Z,"  Brazil Ronaldo isn't remember for his world cup trophy anymore what made his name still relevant in today's fb is the comparison btw him and Cr7 "" who's the better Ronaldo "" Club football is everything "" in 30yrs Drogba name would still be relevant than Giroud",2
['1602051544593088513'],1602051544593088513,2022-12-11T21:23:47.000Z,   But it’s not like you’re winning the world cup . You’re facing France next . Plus you guys aren’t good . You just score one goal then camp in your box . ,4
['1602051538968608768'],1602051538968608768,2022-12-11T21:23:46.000Z, Morocco winning the world cup against all odds . ,2
['1602051533771886595'],1602051533771886595,2022-12-11T21:23:44.000Z, What do you mean imagine ? We are winning the world Cup 100%,2
['1602051522430279681'],1602051522430279681,2022-12-11T21:23:42.000Z,"I’m now Moroccan . 🇲🇦 
(I actually just have the flag in my name as a joke because of the World Cup . ) https://t . co/cem8frqTbQ",2
['1602051504697126912'],1602051504697126912,2022-12-11T21:23:38.000Z,   Dembele can win another world cup and 10 Champions leagues and perform at the same level he is currently without improving and this guy would consider him the GOAT lmao,2
['1602051497000595456'],1602051497000595456,2022-12-11T21:23:36.000Z,"  Why is religion being added here ? Clearly shows the motive of Qatar in this world cup ? ? 

Tell Modi ji to bring FIFA World Cup to India so that we can feed them cow dung and cow urine ? https://t ? co/tRhMnz120p",2
['1602051490608459779'],1602051490608459779,2022-12-11T21:23:34.000Z,WATCH: Moroccans Riot in Paris After World Cup Win in Qatar https://t . co/qIMoGLJnTq ,2
['1602051489593171968'],1602051489593171968,2022-12-11T21:23:34.000Z,World Cup 2022: England players arrive home after France quarter-final defeat https://t . co/pwdJYx4wUF,2
['1602051479799472134'],1602051479799472134,2022-12-11T21:23:32.000Z, Wasn't meant to end like this as if he's the first player to be knocked out of the world cup . It's like this because he sees everything as competition even when no one is pursuing him . If Messi gets knocked out tomorrow . he won't shed a 😢 . All those fake 😢 needs to stop,0
['1602051478633746432'],1602051478633746432,2022-12-11T21:23:31.000Z,Imagine if the world cup final is Morocco vs Croatia 👀🙏,2
['1602051472631398401'],1602051472631398401,2022-12-11T21:23:30.000Z, If israel played at World Cup https://t . co/ohKtUVjfUY,2
['1602051471847358464'],1602051471847358464,2022-12-11T21:23:30.000Z,Not only this but it is because I am Muslim that I believe in tawakkul and that Allah can guide Morocco to the World Cup if He wills . May Allah grant them the tawfiq to defeat France and the finalists 🤲🏾🇲🇦 https://t . co/KzOn2nVffN,2
['1602051471742312450'],1602051471742312450,2022-12-11T21:23:30.000Z," Birmingham City must be very proud of you , keep up the good work and join Charlton Athletic please , There's a couple of tangerines and a 99p world cup plastic football in it for you , ",4
['1602051460619026433'],1602051460619026433,2022-12-11T21:23:27.000Z,Potential England XI and age for the 2026 World Cup . Actually terrifying . https://t . co/BXagaJxyeR,2
['1602051448577331200'],1602051448577331200,2022-12-11T21:23:24.000Z, Players who didn’t feature at the world cup,2
['1602051447780163585'],1602051447780163585,2022-12-11T21:23:24.000Z,i do not want messi to win this world cup . sorry not sorry,2
['1602051447339847682'],1602051447339847682,2022-12-11T21:23:24.000Z, Understandable world cup is going,2
['1602051446845112320'],1602051446845112320,2022-12-11T21:23:24.000Z, What does your post meant ? Ronaldo's appearance in world cup has what relationship with Css ? ,2
['1602051445380915201'],1602051445380915201,2022-12-11T21:23:23.000Z," Croatia will not attempt to stop Argentina superstar Lionel Messi by man-marking him but instead will focus on immobilising the entire team in their World Cup semi-final on Tuesday , they said ,    https://t , co/9XQDPXp1Ww",2
['1602051440914366465'],1602051440914366465,2022-12-11T21:23:22.000Z, yk those numbers are only due to world cup fans hype right 💀 what's real his stats before world cup ? give Lisa a world cup song and she'll triple his number easily for sure ? Your ugly twink just shaved his head bald and ur more worried about Blackpink 🤣 https://t ? co/KCRMENE8et,0
['1602051422702518273'],1602051422702518273,2022-12-11T21:23:18.000Z, The World Cup may not be coming home but Dave definitely is 😂😂,2
['1602051412908802048'],1602051412908802048,2022-12-11T21:23:16.000Z, Choke . I love the national anthem playing while they stood there during the World Cup It’s literally about kicking their butts,4
['1602051402959921157'],1602051402959921157,2022-12-11T21:23:13.000Z,"They need to melt and remold like 2 ballon d’ors to give them one world cup trophy😂😂… fact is , Argentina will win this World Cup🤫 https://t , co/fDE0q921mf",2
['1602051393363365889'],1602051393363365889,2022-12-11T21:23:11.000Z,FIFA World Cup preview: France vs Morocco https://t . co/l0GzdMoN6o,2
['1602051393342382080'],1602051393342382080,2022-12-11T21:23:11.000Z,I don’t want this world cup to end because I want nothing to do with that stupid football club . ,4
['1602051391006347264'],1602051391006347264,2022-12-11T21:23:10.000Z, Till we win this world cup,2
['1602051385888997376'],1602051385888997376,2022-12-11T21:23:09.000Z,"In reflection to this World Cup , we come up short against the bigger teams , Southgate is not an elite manager to take us to the next step , yes we’ve got to a final and a semi final but look at our route we had in them , come up against big team tactically we lose the game",0
['1602051385251729408'],1602051385251729408,2022-12-11T21:23:09.000Z,"Canada’s Mikael Kingsbury has started the moguls World Cup season right where he left off , winning a gold medal at the first event of the season yesterday , 

https://t , co/uy7MVXr98k",2
['1602051372198903814'],1602051372198903814,2022-12-11T21:23:06.000Z, Scotpatiot . Probably spewing his preferred team is oot the World cup . English patriot . Housejock . 🤨,2
['1602051368532967426'],1602051368532967426,2022-12-11T21:23:05.000Z," Wouldnt of touched him back then 🤣🤣 but honestly there aint a better english striker about than kane probably hasnt been since 2016 , lets not forget about his assists either , cant believe bloke wanted callum wilson starting against france in a world cup quarter final 🤣🤣",2
['1602051364418637824'],1602051364418637824,2022-12-11T21:23:04.000Z, You are comparing NBA championship with Fifa World Cup trophy 😵🤡😮😮,2
['1602051362220826624'],1602051362220826624,2022-12-11T21:23:04.000Z, Where’s World Cup goals ? Not found 💔🤣,2
['1602051361201442817'],1602051361201442817,2022-12-11T21:23:03.000Z," France Vs Argentina
And France will the world cup ! ",2
['1602051360698023939'],1602051360698023939,2022-12-11T21:23:03.000Z,   don't bribe the world cup to host an event if you don't want the world to be there,2
['1602051356923232259'],1602051356923232259,2022-12-11T21:23:02.000Z, But … but … u were against the world cup being held in qatar,2
['1602051354821894144'],1602051354821894144,2022-12-11T21:23:02.000Z,England arrive back from Qatar after World Cup exit https://t . co/S31bq30ejs,2
['1602051352850534401'],1602051352850534401,2022-12-11T21:23:01.000Z, Wow ! Seeing a World Cup Final is the absolute golden ticket for any football fan ! Hoping for your sake it’s not Croatia v Morocco 🙈,2
['1602051346374529024'],1602051346374529024,2022-12-11T21:23:00.000Z,"    3rd place world cup medals mean a lot for countries like Croatia , Morocco etc , ",2
['1602051345577648128'],1602051345577648128,2022-12-11T21:23:00.000Z,Morocco’s World Cup odyssey has changed what it means to be the underdog | Nick Ames https://t . co/jy4iO5EdJI,2
['1602051345120477186'],1602051345120477186,2022-12-11T21:23:00.000Z,   The biggest stage is the World Cup . ,2
['1602051332105703425'],1602051332105703425,2022-12-11T21:22:56.000Z, NSW execs didn’t like the amount of people attending the Melbourne World Cup live sites . ,2
['1602051329647693825'],1602051329647693825,2022-12-11T21:22:56.000Z,"ISU World Cup CALGARY
1000 meter Dames
1 .  🇳🇱🥇1:12 . 82
2 . Kimi Goetz 🇺🇸🥈 1:13 . 53 
3 .  🇦🇹🥉1:13 . 56
4 .  🇯🇵
5 .  🇳🇱
 ",2
['1602051325604528128'],1602051325604528128,2022-12-11T21:22:55.000Z," Croatia is trying †o win the World Cup while Serbia is , apparently , desperate to lose another war , 🤣",0
['1602051317882667009'],1602051317882667009,2022-12-11T21:22:53.000Z,World Cup: You Can’t Win The Trophy Leaving Cristiano Ronaldo On Bench – Figo Blasts Santos https://t . co/aOPSlhMRwD,2
['1602051308483215362'],1602051308483215362,2022-12-11T21:22:51.000Z,This World Cup don change you  🌝,2
['1602051302774677505'],1602051302774677505,2022-12-11T21:22:49.000Z,Settled then ! I am not watching the T20 World Cup matches to win it ! 😂,2
['1602051297951318016'],1602051297951318016,2022-12-11T21:22:48.000Z,"Adidas unveil 'Al Hilm' , the official World Cup ball for the semifinals and final ⚽  https://t , co/krq1j8tfqs",2
['1602051296319754241'],1602051296319754241,2022-12-11T21:22:48.000Z,Cristiano Ronaldo World Cup knockout games highlights (all time career)😳😈 https://t . co/2tbNr6FQwv,2
['1602051287993950212'],1602051287993950212,2022-12-11T21:22:46.000Z,2/3 of the PSUPER SED Lab AGU squad has arrived in Chicago for  ! Doing big time touristing today but come chat about rivers/sand/avulsion/World Cup/other science etc with us @ our posters on Wed &amp ! Fri 🤩 https://t ! co/UrwKTy5dlA,2
['1602051283954843649'],1602051283954843649,2022-12-11T21:22:45.000Z,"Now that football World Cup is over , Lthrscorpion wants to play some ball games of his own https://t , co/RtyrIGjtiE",2
['1602051280704344064'],1602051280704344064,2022-12-11T21:22:44.000Z,16 . 5% of players . or about 1 in every 6 . were born in a country other than the one they’re representing . That’s the highest share of  ⚽️ history . https://t . co/GFwevH6sfk,2
['1602051267341307911'],1602051267341307911,2022-12-11T21:22:41.000Z,   Quality won’t hack it . In the World Cup you can’t afford to make a mistake and young players get nervous,2
['1602051262282977286'],1602051262282977286,2022-12-11T21:22:40.000Z," All-time playmaking , the number of awesome passes in one world cup is insane , He created so much chances to score , that's crazy , 
Diego was something else , ",2
['1602051258612858884'],1602051258612858884,2022-12-11T21:22:39.000Z,"'bout to get on top of the w̵o̵r̵l̵d̵  World Cup leaderboard ⚽ check me out ! 

https://t ! co/3PlsbGMdl2",2
['1602051249054138370'],1602051249054138370,2022-12-11T21:22:37.000Z, Hopefully more African and Arab teams can go far in World Cup . ,2
